date,ID
0,215265
5082,62946
5912,218512
5913,115020
5080,110830
5909,252031
5078,12597
5077,220914
5911,34099
5920,252408
5081,144121
5919,168139
5086,201125
557,140526
5095,19537
5918,12180
5094,222517
5731,240174
5733,160415
5730,35020
5729,252041
5093,47180
5092,32164
5090,195011
603,252299
5089,251630
5734,213480
5088,201122
5087,179920
5091,135636
5721,58873
5084,190990
5083,154527
5719,186979
554,46923
5105,143002
5908,218554
5107,239128
5907,61591
5101,3007
5096,40591
5899,51268
5895,117940
5100,142967
5099,192916
5896,252575
5902,238674
5903,4118
5904,10739
5115,3010
5114,3011
5900,239464
5113,193000
5112,17974
5901,57293
5116,142992
5923,146072
5924,10742
5925,28065
5108,85232
556,250738
555,199648
5110,49799
5111,193004
5722,128524
5720,123992
5103,3019
5120,252928
5740,120147
5741,252868
5742,67890
5121,2001
5718,213375
5693,252685
607,206397
5118,82312
5117,153779
5691,10359
5697,11304
5119,135582
5696,229947
5698,245122
5695,104222
645,252306
5135,87808
5694,84616
5134,192863
5133,32173
5132,89938
5681,81098
5682,4184
5138,232556
5683,81099
5131,250519
5126,110890
5680,81097
5125,82318
5738,201948
646,241166
5144,69261
5743,213501
5145,179988
5728,120702
5143,139536
5141,139394
5725,67245
605,33083
5140,50333
5727,203030
5744,81253
5142,252766
5154,249436
601,196861
5155,251483
5748,83385
5747,145516
5745,184650
5157,253538
5156,136387
5149,153480
5746,114611
5148,195433
5736,219115
5147,195457
5146,50334
5737,101863
5152,85367
5735,214815
5153,143028
643,253391
5102,192997
5104,227001
5836,214041
5856,184135
3822,50061
3820,178304
3814,178272
5844,233547
3813,63964
5845,16075
3816,33295
5846,122947
3819,63958
3818,225689
3817,80060
576,75923
3895,155580
3894,153231
3893,67939
3892,12682
3898,3499
5938,86236
3897,33220
5939,11047
3858,250807
5935,16522
3887,15178
5937,53574
5936,251717
5942,146074
3891,87662
5940,93085
3890,138197
3823,83110
3825,43604
3888,251373
754,253191
3803,155835
3802,95418
3810,238251
3809,111311
3807,45797
3806,251220
755,46864
756,234418
584,196864
5835,231071
573,89286
5851,214038
3798,243390
757,197744
575,44933
5847,81282
5848,240110
3801,234589
3800,87649
5849,172021
3799,43616
5859,172059
5860,168138
5852,168164
5853,252533
5854,168162
5855,202412
3821,43602
5857,81046
3889,82808
5941,238901
5380,104805
5946,236741
3869,252757
3867,137159
3866,144712
3860,12698
5950,128203
5951,202359
5953,60621
3859,46111
3871,18628
3882,63951
3881,245546
3880,138236
3883,12683
550,81672
3885,94576
3884,155574
749,249241
5945,122983
3873,97384
3872,23537
559,20056
3875,100029
558,28960
3879,5049
3878,152934
5905,117958
3876,200476
3877,94561
5906,184465
3870,83090
3863,155723
3899,82731
3864,251137
